image_name,caption
1000268201_693b08cb0e.jpg,A little girl in a pink dress going into a wooden cabin .
1001773457_577c3a7d70.jpg,Two dogs on pavement moving toward each other .
1002674143_1b742ab4b8.jpg,Young girl with pigtails painting outside in the grass .
1003163366_44323f5815.jpg,man laying on bench holding leash of dog sitting on ground
1007129816_e794419615.jpg,The man with pierced ears is wearing glasses and an orange hat .
1007320043_627395c3d8.jpg,The small child climbs on a red ropes on a playground .
1009434119_febe49276a.jpg,A dog runs on the green grass near a wooden fence .
1012212859_01547e3f17.jpg,White dog with brown ears standing near water with head turned to one side .
1015118661_980735411b.jpg,Smiling boy in white shirt and blue jeans in front of rock wall with man in overalls behind him .
1015584366_dfcec3c85a.jpg,The black dog jumped the tree stump .
101654506_8eb26cfb60.jpg,The white and brown dog is running over the surface of the snow .
101669240_b2d3e7f17b.jpg,Man on skis looking at artwork for sale in the snow
1016887272_03199f49c4.jpg,Several climbers in a row are climbing the rock while the man in red watches and holds the line .
1019077836_6fc9b15408.jpg,Large brown dog running away from the sprinkler in the grass .
1019604187_d087bf9a5f.jpg,A white dog running after a yellow ball
1020651753_06077ec457.jpg,The white dog is playing in a green field with a yellow toy .
1022454332_6af2c1449a.jpg,"""Two people are at the edge of a lake , facing the water and the city skyline ."""
1022454428_b6b660a67b.jpg,Couple with a baby sit outdoors next to their stroller .
1022975728_75515238d8.jpg,This is a black dog splashing in the water .
102351840_323e3de834.jpg,Two men are ice fishing .
1024138940_f1fefbdce1.jpg,Two large tan dogs play along a sandy beach .
102455176_5f8ead62d5.jpg,Climber climbing an ice wall
1026685415_0431cbf574.jpg,A wet black dog is carrying a green toy through the grass .
1028205764_7e8df9a2ea.jpg,Man and child in yellow kayak
1030985833_b0902ea560.jpg,The Chocolate Lab jumps too late to get the toy as the Black Lab captures it in the driveway .
103106960_e8a41d64f8.jpg,"""Hockey goalie boy in red jacket crouches by goal , with stick ."""
103195344_5d2dc613a3.jpg,The man with the backpack is sitting in a buildings courtyard in front of an art sculpture reading .
103205630_682ca7285b.jpg,Two people standing outside a blue tent structure on a snowy surface .
1032122270_ea6f0beedb.jpg,Three dogs stand in a grassy field while a person kneels nearby .
1032460886_4a598ed535.jpg,There is a skyscraper in the distance with a man walking in front of the camera .
1034276567_49bb87c51c.jpg,The boy is eating pizza over a tin dish .
104136873_5b5d41be75.jpg,Three people rest on a ledge above the moutains .
